City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
361,Yazman,PK,89.47,clear sky,29.1212,71.7446,Jamal sons showroom
362,Roma,US,80.74,broken clouds,43.2128,-75.4557,Wingate By Wyndham Rome
370,Alyangula,AU,75.63,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
372,Sola,VU,80.76,overcast clouds,-13.8833,167.55,Leumerus Bungalows
374,Kuchinarai,TH,79.12,overcast clouds,16.541,104.05,โรงแรมแสงชัย
375,Trairi,BR,77.86,overcast clouds,-3.2778,-39.2689,janelas do mar
376,Fairmont,US,81.52,broken clouds,39.4851,-80.1426,Clarion Inn
377,Weligama,LK,79.2,broken clouds,5.9667,80.4167,Weligama Bay Resort
382,Grants Pass,US,80.17,clear sky,42.439,-123.3284,La Quinta Inn & Suites by Wyndham Grants Pass
384,Kahului,US,89.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
393,Mazagao,BR,80.65,moderate rain,-0.115,-51.2894,Recanto dos Ferreiras
398,Benguela,AO,75.06,scattered clouds,-12.5763,13.4055,Hotel Praia Morena
412,Khurda,IN,84.11,broken clouds,20.1833,85.6167,Bagbaan Villa
416,Xuddur,SO,75.51,overcast clouds,4.1213,43.8894,Banjanay Hotel
421,Tuy Hoa,VN,77.23,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
423,Umm Lajj,SA,83.82,clear sky,25.0213,37.2685,Moon light Furnished Units
429,Kirakira,SB,82.09,scattered clouds,-10.4544,161.9205,SanBiz Lodge
447,Liberal,US,87.94,clear sky,37.0431,-100.921,Hampton Inn & Suites Liberal
448,Waingapu,ID,75.87,few clouds,-9.6567,120.2641,Pondok Wisata Elim
456,Kavaratti,IN,81.84,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
460,Malangwa,NP,83.91,clear sky,26.8568,85.5581,Prem Meat House
464,New Milford,US,82.83,clear sky,40.9327,-74.0179,Courtyard by Marriott Paramus
465,Keffi,NG,82.2,few clouds,8.8486,7.8736,Imam Family
473,Lorengau,PG,81.61,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
476,Charcas,MX,82.38,clear sky,23.1333,-101.1167,Hotel El Malacate
481,Ugoofaaru,MV,82.53,heavy intensity rain,5.6667,73.0,Ungoofaaru Inn
484,Contamana,PE,78.31,overcast clouds,-7.3333,-75.0167,Shiringal Touristic Park
491,Mattru,SL,78.3,broken clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
493,Samarai,PG,79.72,clear sky,-10.6167,150.6667,Nuli Sapi
494,Vieques,PR,83.1,scattered clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
501,Tulum,MX,83.95,scattered clouds,20.2167,-87.4667,Kin Ha Tulum
506,Vanimo,PG,80.15,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
509,Wilmington,US,82.31,few clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
510,Port-Gentil,GA,80.56,overcast clouds,-0.7193,8.7815,Fengshui Residence
511,Oeiras Do Para,BR,76.59,light rain,-2.0031,-49.8544,Araticu Soft Hotel
512,Lucea,JM,80.85,broken clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
513,Maragogi,BR,78.51,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
523,Itaituba,BR,75.94,moderate rain,-4.2761,-55.9836,Hotel Campos
532,Brejinho,BR,78.1,scattered clouds,-6.1908,-35.3567,Recanto da Rosa
533,Turbat,PK,86.38,clear sky,26.0023,63.044,Mubashar Quarters
535,Chamba,IN,80.35,overcast clouds,32.5667,76.1333,NotOnMap - Rafi's House
537,Filadelfia,US,80.22,scattered clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
540,Itarema,BR,78.3,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
542,Labuan,MY,79.16,thunderstorm,5.2767,115.2417,Tiara Labuan Hotel
543,Borba,BR,77.14,moderate rain,-4.3878,-59.5939,Hotel da Amazônia
545,Altagracia De Orituco,VE,87.19,overcast clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
551,Alamosa,US,75.18,clear sky,37.4695,-105.87,Best Western Alamosa Inn
552,Chalmette,US,90.0,overcast clouds,29.9427,-89.9634,Marina Inn & Suites Chalmette-New Orleans
559,Semporna,MY,79.07,scattered clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
561,Grand Gaube,MU,75.6,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
568,Basco,PH,80.98,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
573,Labelle,US,89.67,clear sky,26.7617,-81.4384,Port LaBelle Inn
574,Monte Alegre,BR,76.57,overcast clouds,-2.0078,-54.0692,Hotel Shekinah
575,Saint Pete Beach,US,85.24,clear sky,27.7253,-82.7412,Grand Plaza Hotel - St. Pete Beach
583,Juruti,BR,77.32,light rain,-2.1522,-56.0922,Pousada Marupiara
584,Sao Gabriel Da Cachoeira,BR,77.59,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
589,Russell,US,83.8,clear sky,32.3502,-85.1999,Macs
591,Maumere,ID,79.03,clear sky,-8.6199,122.2111,Sylvia Hotel
592,Quang Ngai,VN,77.86,overcast clouds,15.1167,108.8,Central Hotel
596,Lumberton,US,86.09,overcast clouds,34.6182,-79.0086,"Country Inn & Suites by Radisson, Lumberton, NC"
599,Hamilton,US,86.76,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
601,Kinston,US,86.11,clear sky,35.2627,-77.5816,Hampton Inn Kinston
603,Cockburn Town,TC,79.05,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
622,Bireun,ID,78.44,overcast clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
627,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
628,Hambantota,LK,79.77,broken clouds,6.1241,81.1185,Bungalow 63
630,Mecca,SA,89.6,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
641,Manadhoo,MV,81.86,light rain,5.7667,73.3833,Bon Abri maldives
645,Valera,VE,76.03,overcast clouds,9.3178,-70.6036,Hotel Camino Real
647,Roseland,US,89.87,clear sky,38.4221,-122.728,Best Western Garden Inn
652,Mitsamiouli,KM,79.68,clear sky,-11.3847,43.2844,Foyer ADM
655,Nueva Granada,CO,81.12,overcast clouds,9.8017,-74.393,HOTEL BELLA VISTA NUEVA GRANADA
657,Abu Dhabi,AE,82.51,clear sky,24.4667,54.3667,Beach Rotana
658,Carutapera,BR,77.74,broken clouds,-1.195,-46.02,Lidera
660,Sungairaya,ID,79.16,few clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
667,Binabalian,PH,83.03,overcast clouds,16.4202,119.9279,Sundowners Vacation Villas
668,Fare,PF,80.4,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
670,Pittsburg,US,87.48,clear sky,38.028,-121.8847,Hampton Inn & Suites Pittsburg
675,Farakka,IN,85.03,overcast clouds,24.8167,87.9,Rajib Chowdhury
679,Bacolod,PH,81.28,overcast clouds,10.6667,122.95,Planta Hotel & Residences
680,Karwar,IN,81.55,overcast clouds,14.8,74.1333,Netalco Connects
683,Lynn Haven,US,78.78,scattered clouds,30.2455,-85.6483,Wingate by Wyndham Panama City Area Lynn Haven
684,Beawar,IN,84.47,clear sky,26.1,74.3167,HOTEL JYOTI PARADISE
686,Touros,BR,78.15,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
687,Ratnagiri,IN,83.17,overcast clouds,16.9833,73.3,Hotel Landmark
688,Pacific Grove,US,80.38,broken clouds,36.6177,-121.9166,Lovers Point Inn
692,Brasilia,BR,76.12,broken clouds,-15.7797,-47.9297,Sia Park Executive Hotel - Uma empresa Brasal
